img_id,pais,clase_pred,tipo_via,barrio,confianza,area_rel,aspecto,cy_rel,cx_rel,n_det_imagen,lat,lon,prioridad
demo_0,demo,D00,colectora,Centro,0.78808,0.17209,0.28715,0.56058,0.17246,5,-25.28161,-57.63403,media
demo_1,demo,D10,local,San Vicente,0.31308,0.02199,12.51785,0.43493,0.45046,5,-25.3099,-57.60726,media
demo_2,demo,D10,colectora,Trinidad,0.24156,0.02971,12.86757,0.43086,0.39231,5,-25.25252,-57.59563,media
demo_3,demo,D10,colectora,Centro,0.14891,0.03226,12.64145,0.41646,0.32685,5,-25.28511,-57.64104,media
demo_4,demo,D10,colectora,Las Mercedes,0.13789,0.0063,5.75072,0.39718,0.09721,5,-25.29802,-57.62008,baja
demo_5,demo,D20,local,Recoleta,0.29304,0.02609,0.77211,0.79865,0.34803,2,-25.29543,-57.60754,media
demo_6,demo,D00,local,Recoleta,0.15745,0.02642,0.74841,0.80204,0.34511,2,-25.29376,-57.60993,media
demo_7,demo,D40,local,Sajonia,0.26151,0.02352,0.47555,0.35789,0.84006,1,-25.28686,-57.64723,alta
demo_8,demo,D10,arterial,Villa Morra,0.51189,0.01306,5.48363,0.75598,0.78689,6,-25.29579,-57.57489,media
demo_9,demo,D00,colectora,Sajonia,0.45168,0.04561,0.67402,0.69705,0.56638,6,-25.29035,-57.64769,media
demo_10,demo,D00,colectora,Villa Morra,0.36502,0.02182,0.71155,0.91216,0.83044,6,-25.29231,-57.57602,media
demo_11,demo,D00,arterial,Mburucuyá,0.20994,0.00342,0.65452,0.57031,0.34906,6,-25.28285,-57.58004,media
demo_12,demo,D00,local,Carmelitas,0.15199,0.05705,0.51129,0.8319,0.3463,6,-25.28339,-57.57196,media
demo_13,demo,D10,local,Las Mercedes,0.10585,0.00506,4.02463,0.69609,0.2983,6,-25.29389,-57.61411,baja
demo_14,demo,D00,local,Carmelitas,0.19798,0.00066,0.38072,0.65649,0.39751,2,-25.28774,-57.57457,baja
demo_15,demo,D00,arterial,Recoleta,0.14734,0.0011,0.4436,0.65561,0.39972,2,-25.28679,-57.60567,baja
demo_16,demo,D40,local,Barrio Obrero,0.70259,0.01394,1.10606,0.40598,0.44814,3,-25.31881,-57.62035,media
demo_17,demo,D40,local,Mburucuyá,0.31528,0.02907,3.23414,0.47604,0.81843,3,-25.2799,-57.58291,alta
demo_18,demo,D40,colectora,Mburucuyá,0.20094,0.00927,1.06551,0.14012,0.45049,3,-25.27701,-57.57783,baja
demo_19,demo,D20,local,Mburucuyá,0.71025,0.33976,1.89713,0.7884,0.40636,1,-25.28121,-57.58041,alta
demo_20,demo,D20,local,Centro,0.80942,0.2536,1.23705,0.77302,0.28005,5,-25.2806,-57.63692,alta
demo_21,demo,D00,local,Trinidad,0.64464,0.14004,2.29609,0.12348,0.28352,5,-25.25858,-57.59265,media
demo_22,demo,D00,colectora,Recoleta,0.17969,0.07073,0.9492,0.47416,0.67745,5,-25.29439,-57.60658,media
demo_23,demo,D00,arterial,Recoleta,0.16583,0.03185,0.96392,0.43104,0.71871,5,-25.28618,-57.6041,media
demo_24,demo,D00,local,Recoleta,0.12336,0.01577,1.65756,0.37322,0.6101,5,-25.28912,-57.60715,baja
demo_25,demo,D00,colectora,Mburucuyá,0.61111,0.03031,1.12302,0.79913,0.65279,1,-25.27507,-57.57732,media
demo_26,demo,D10,colectora,Barrio Obrero,0.36057,0.00288,4.63178,0.74777,0.55223,4,-25.31311,-57.62416,baja
demo_27,demo,D20,local,Recoleta,0.29516,0.01967,1.40289,0.94079,0.78912,4,-25.29143,-57.61077,media
demo_28,demo,D10,local,Carmelitas,0.2273,0.014,10.36982,0.74691,0.41411,4,-25.28552,-57.57503,baja
demo_29,demo,D10,local,Barrio Obrero,0.18565,0.0052,6.24689,0.74804,0.30966,4,-25.32044,-57.62399,baja
demo_30,demo,D40,local,Sajonia,0.34217,0.01242,2.91665,0.51131,0.55948,7,-25.29512,-57.6535,media
demo_31,demo,D40,local,San Vicente,0.2829,0.02745,4.67863,0.52691,0.4848,7,-25.30999,-57.60461,alta
demo_32,demo,D40,colectora,Carmelitas,0.28047,0.01273,2.14549,0.69033,0.08262,7,-25.28662,-57.57387,media
demo_33,demo,D40,colectora,Las Mercedes,0.22872,0.00295,1.8421,0.56586,0.28585,7,-25.29439,-57.624,media
demo_34,demo,D40,colectora,Barrio Obrero,0.21535,0.01879,1.45631,0.68119,0.08272,7,-25.31422,-57.62589,media
demo_35,demo,D40,colectora,Recoleta,0.18007,0.0229,4.08116,0.51804,0.50009,7,-25.29025,-57.60679,alta
demo_36,demo,D40,colectora,Mburucuyá,0.107,0.0078,3.19953,0.63771,0.08007,7,-25.2844,-57.58668,media
